source,category,symbol,display_name,entry_date,exit_date,ret,cash_before,cash_after,param_id,selected_year,selected_score,caliber,buy_low,sell_high,strategy_id,signal_date,entry_close,exit_close,return,win,hold_days,buy_target,buy_frequency,buy_combo,buy_threshold,sell_frequency,sell_combo,sell_threshold,max_hold,exit_rule,entry_year,train_score,selected_for_year,selector_score_func,entry_dt,exit_dt,portfolio_weight,applied_return,equity,priority,mode,hold,next_entry_date,new_exit_date,new_ret,exit_changed,recent_high_count,decision_date,same_day_rotation_cap,selected_recent_days,selected_delay_days,selected_candidate,cash_after_new,source_type,idle_days,ma,mom,year,exit_extended,exit_state_value,control_rule
主策略,周期资源/公用事业,515210,钢铁ETF,2023-04-27,2023-07-04,-0.0178571428571429,10885.974059861572,8286.10592386334,rotate_ma_mom_idle20_hold10_ma20_mom20,2023,0.821779636262937,,,,,,1.288,1.265,,,,,,,,,,,,,,,,,,,,,,1000,rotate_ma_mom,10.0,2023-07-04,2023-07-04,-0.0182499214442825,True,0.0,2023-06-28,True,15.0,8.0,high_absent_w15_d8,14852.250130118711,,,,,2023,,,extend:ret20:+0.0800:d30
主策略,金融/地产,159768,房地产ETF,2023-07-04,2023-08-29,0.1176470588235294,10400.058141225838,9260.941914906083,rotate_ma_mom_idle20_hold10_ma20_mom20,2023,0.821779636262937,,,,,,0.731,0.817,,,,,,,,,,,,,,,,,,,,,,1000,rotate_ma_mom,10.0,2023-09-27,2023-08-29,0.1172000893938858,False,1.0,2023-08-28,False,15.0,8.0,high_absent_w15_d8,16592.93517306898,,,,,2023,,,extend:ret20:+0.0800:d30
主策略,周期资源/公用事业,159611,电力ETF,2023-09-27,2023-12-12,0.0057339449541284,11844.081057531585,9314.043646069538,rotate_ma_mom_idle20_hold10_ma20_mom20,2023,0.821779636262937,,,,,,0.872,0.877,,,,,,,,,,,,,,,,,,,,,,1000,rotate_ma_mom,10.0,2023-12-19,2023-12-12,0.0053317318187737,True,0.0,2023-11-29,False,15.0,8.0,high_absent_w15_d8,16681.404253498084,,,,,2023,,,extend:ret20:+0.0800:d30
主策略,消费/农业/传媒,159996,家电ETF,2023-12-19,2024-04-18,0.1391304347826087,11744.303763951186,10213.9512447236,rotate_ma_mom_idle20_hold10_ma20_mom20,2023,0.821779636262937,,,,,,1.035,1.179,,,,,,,,,,,,,,,,,,,,,,1000,rotate_ma_mom,10.0,2024-07-19,2024-03-05,0.0961797978568539,True,0.0,2024-02-21,False,15.0,8.0,high_absent_w15_d8,18285.818342568,,,,,2023,True,0.1140350877192981,extend:ret20:+0.0800:d30
主策略,消费/农业/传媒,512980,传媒ETF,2024-07-19,2024-09-13,-0.03035413153457,5837.561342776428,9903.915625153575,rotate_ma_mom_idle20_hold20_ma40_mom40,2024,0.7501927339325442,,,,,,0.593,0.575,,,,,,,,,,,,,,,,,,,,,,1000,rotate_ma_mom,20.0,2024-09-19,2024-09-13,-0.0307419123257978,False,1.0,2024-09-12,False,15.0,8.0,high_absent_w15_d8,17723.677318275302,,,,,2024,,,extend:ret20:+0.0800:d30
主策略,消费/农业/传媒,512980,传媒ETF,2024-09-19,2024-11-21,0.358490566037736,5658.103543780328,13454.37594360486,rotate_ma_mom_idle20_hold20_ma40_mom40,2024,0.7501927339325442,,,,,,0.583,0.792,,,,,,,,,,,,,,,,,,,,,,1000,rotate_ma_mom,20.0,2024-12-19,2024-11-21,0.3579472784688347,False,2.0,2024-11-20,False,15.0,8.0,high_absent_w15_d8,24067.819378811764,,,,,2024,,,extend:ret20:+0.0800:d30
主策略,宽基/风格指数,159902,中小板ETF,2024-12-19,2025-02-26,0.0419354838709675,7683.406308571366,14018.591708981836,rotate_ma_mom_idle20_hold20_ma40_mom40,2024,0.7501927339325442,,,,,,3.41,3.553,,,,,,,,,,,,,,,,,,,,,,1000,rotate_ma_mom,20.0,2025-02-26,2025-02-26,0.0415187930155904,True,0.0,2025-02-21,True,15.0,8.0,high_absent_w15_d8,25067.086189937265,,,,,2024,,,extend:ret20:+0.0800:d30
主策略,军工/基建/交通/央企,512660,军工ETF,2025-04-07,2025-06-06,0.129449838187702,9011.704673682169,15833.296137328996,rotate_ma_mom_idle20_hold60_ma20_mom40,2025,0.599267666480159,,,,,,0.927,1.047,,,,,,,,,,,,,,,,,,,,,,1000,rotate_ma_mom,60.0,2025-06-10,2025-06-06,0.1289981485903466,False,1.0,2025-06-05,False,15.0,8.0,high_absent_w15_d8,26864.15824264421,,,,,2025,,,extend:ret20:+0.0800:d30
主策略,消费/农业/传媒,159996,家电ETF,2025-07-30,2025-09-24,0.1159942363112391,11283.277121923697,17669.86723106817,rotate_ma_mom_idle20_hold60_ma20_mom40,2025,0.599267666480159,,,,,,1.388,1.549,,,,,,,,,,,,,,,,,,,,,,1000,rotate_ma_mom,60.0,2025-10-24,2025-09-24,0.1155479278784012,False,1.0,2025-09-23,False,15.0,8.0,high_absent_w15_d8,33068.844675882785,,,,,2025,,,extend:ret20:+0.0800:d30
主策略,军工/基建/交通/央企,512660,军工ETF,2025-10-24,2026-01-21,0.2243377483443709,12587.036413039752,20083.383864450825,rotate_ma_mom_idle20_hold60_ma20_mom40,2025,0.599267666480159,,,,,,1.208,1.479,,,,,,,,,,,,,,,,,,,,,,1000,rotate_ma_mom,60.0,2026-01-21,2025-12-31,0.1361348591208908,True,0.0,2025-12-18,False,15.0,8.0,high_absent_w15_d8,37570.66718712471,,,,,2025,True,0.1346316680779,extend:ret20:+0.0800:d30
空仓补偿_red_ma,,510880,红利ETF,2026-01-21,2026-02-02,-0.003598298985934,,20011.117844657245,red_ma_i10_h10_ma20_m20,2026,,,,,,,3.057,3.046,,,,,,,,,,,,,,,,,,,,,,100,red_ma,10.0,,,,,,2026-01-20 00:00:00,,,,,,空仓补偿,10.0,20.0,20.0,2026,,,extend:ret20:+0.0800:d30
主策略,金融/地产,159887,银行ETF,2026-02-02,2026-04-09,0.0166402535657685,18195.12733309725,20344.10791972682,red_ma_idle10_hold10_ma20_mom20,2026,0.782144469133865,,,,,,1.262,1.283,,,,,,,,,,,,,,,,,,,,,,1000,red_ma,10.0,2026-04-09,2026-04-09,0.0162336787792993,True,0.0,2026-04-07,True,15.0,8.0,high_absent_w15_d8,39251.465106963726,,,,,2026,,,extend:ret20:+0.0800:d30
主策略,消费/农业/传媒,159996,家电ETF,2026-04-09,2026-06-15,0.0286512928022362,18634.62044656553,20926.992912535206,red_ma_idle10_hold10_ma20_mom20,2026,0.782144469133865,,,,,,1.431,1.472,,,,,,,,,,,,,,,,,,,,,,1000,red_ma,10.0,2026-06-15,2026-06-15,0.0282399145607636,True,0.0,2026-06-08,True,15.0,8.0,high_absent_w15_d8,40359.92312796918,,,,,2026,,,extend:ret20:+0.0800:d30
主策略,消费/农业/传媒,159825,农业ETF,2026-06-15,2026-07-13,-0.0380818053596613,19278.01253640766,20130.055241677022,red_ma_idle10_hold10_ma20_mom20,2026,0.782144469133865,,,,,,0.709,0.682,,,,,,,,,,,,,,,,,,,,,,1000,red_ma,10.0,,2026-07-13,-0.0384664956994493,True,0.0,2026-06-30,False,15.0,8.0,high_absent_w15_d8,38807.41831853705,,,,,2026,,,extend:ret20:+0.0800:d30
