test_year,rule,buy_combo,sell_combo,symbol,name,entry_date,exit_date,entry_close,exit_close,hold_days,status,return_rate,pnl_cny,mark_close,unrealized_return,unrealized_pnl_cny,signal_date,fear_core,fear_qvix,fear_north,fear_enhanced,fear_change3,fear_peak5,greed_enhanced,regime,symbol_fear,buy_quality,exit_reason,exit_key,max_hold,greed_threshold,mark_date,overlay
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-10-11,2021-12-06,1.847,1.711,927.0,closed,-0.07363291824580398,-7.363291824580398,1.18,,,2021-10-08,61.99924414210127,34.25925925925926,53.57142857142857,53.67724867724866,-8.346560846560855,70.5026455026455,46.32275132275134,中性,88.00353568646251,70.84039218185559,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-10-12,2021-12-07,1.772,1.723,926.0,closed,-0.027652370203160248,-2.765237020316025,1.18,,,2021-10-11,67.00680272108843,29.100529100529098,83.86243386243386,55.634920634920626,-14.867724867724881,70.5026455026455,44.365079365079374,中性,92.36793729340614,74.00142896416338,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-10-13,2021-12-08,1.768,1.732,925.0,closed,-0.020361990950226283,-2.0361990950226283,1.18,,,2021-10-12,79.78080120937264,27.513227513227513,61.37566137566137,64.1005291005291,-0.330687830687836,70.5026455026455,35.8994708994709,恐惧,97.76316595832944,80.93184752942926,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-10-14,2021-12-09,1.777,1.736,924.0,closed,-0.023072594259988755,-2.3072594259988755,1.18,,,2021-10-13,67.61148904006048,29.4973544973545,,56.17724867724868,2.500000000000014,64.43121693121694,43.82275132275132,中性,88.25930325811412,72.2182759676814,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-10-15,2021-12-10,1.78,1.718,923.0,closed,-0.03483146067415732,-3.483146067415732,1.18,,,2021-10-14,69.55782312925172,25.793650793650798,,56.42857142857144,0.7936507936508121,64.1005291005291,43.57142857142856,中性,85.70808591416326,71.06832867136735,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-10-18,2021-12-13,1.806,1.72,922.0,closed,-0.04761904761904767,-4.761904761904767,1.18,,,2021-10-15,66.34542705971278,21.825396825396826,76.32275132275133,52.98941798941799,-11.111111111111114,64.1005291005291,47.01058201058201,中性,85.89561018437225,69.44251408689512,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-10-19,2021-12-14,1.821,1.686,921.0,closed,-0.07413509060955514,-7.413509060955514,1.18,,,2021-10-18,65.40060468631897,34.78835978835979,33.86243386243386,56.216931216931215,0.039682539682537765,64.1005291005291,43.783068783068785,中性,82.82013677811551,69.51853399752336,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-10-20,2021-12-15,1.818,1.699,920.0,closed,-0.06545654565456549,-6.545654565456549,1.18,,,2021-10-19,47.60015117157974,21.693121693121693,97.22222222222221,39.82804232804232,-16.600529100529116,56.42857142857144,60.17195767195768,贪婪,82.70991272759062,61.268977527816475,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-10-21,2021-12-16,1.818,1.757,919.0,closed,-0.03355335533553361,-3.355335533553361,1.18,,,2021-10-20,50.85034013605442,21.428571428571427,22.61904761904762,42.023809523809526,-10.965608465608462,56.42857142857144,57.976190476190474,中性,83.28351086971777,62.65366019676365,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-10-22,2021-12-17,1.749,1.751,918.0,closed,0.0011435105774726395,0.11435105774726395,1.18,,,2021-10-21,58.97581254724112,24.735449735449734,21.56084656084656,48.703703703703695,-7.51322751322752,56.216931216931215,51.296296296296305,中性,81.94220675949492,65.32295523159931,max_hold,hold_40_greed_off,40,,2026-07-31,baseline
