overlay,family,threshold,recovery_change,exit_key,max_hold,greed_threshold,signals,closed,open,wins,win_rate,avg_return,median_return,realized_pnl_per_100,unrealized_pnl_per_100,mark_to_market_pnl_per_100,covered_years,worst_year_win_rate,year_win_rate_std,robust_score
core_ge_75,core,75.0,,hold_90_greed_off,90,,6,4,2,2,0.5,-0.021794908973229415,-0.022212766259232852,-8.717963589291767,-54.212229733611665,-62.930193322903435,1,0.5,0.0,-inf
core_ge_75,core,75.0,,hold_90_greed_80,90,80.0,6,4,2,2,0.5,-0.021794908973229415,-0.022212766259232852,-8.717963589291767,-54.212229733611665,-62.930193322903435,1,0.5,0.0,-inf
enhanced_ge_65,enhanced,65.0,,hold_120_greed_80,120,80.0,32,21,11,10,0.47619047619047616,0.08463478269441269,-0.002716823406478608,177.73304365826667,-253.46875517789508,-75.73571151962841,3,0.0,0.2832788618662658,-inf
enhanced_ge_65,enhanced,65.0,,hold_60_greed_60,60,60.0,32,21,11,10,0.47619047619047616,0.027301679042471112,-0.0034217279726261873,57.33352598918934,-253.46875517789508,-196.13522918870575,3,0.0,0.2832788618662658,-inf
enhanced_ge_65,enhanced,65.0,,hold_90_greed_60,90,60.0,32,21,11,10,0.47619047619047616,0.027301679042471112,-0.0034217279726261873,57.33352598918934,-253.46875517789508,-196.13522918870575,3,0.0,0.2832788618662658,-inf
enhanced_ge_65,enhanced,65.0,,hold_120_greed_60,120,60.0,32,21,11,10,0.47619047619047616,0.027301679042471112,-0.0034217279726261873,57.33352598918934,-253.46875517789508,-196.13522918870575,3,0.0,0.2832788618662658,-inf
core_ge_70,core,70.0,,hold_120_greed_off,120,,33,26,7,10,0.38461538461538464,0.031281622674087954,-0.029609821340757403,81.3322189526287,-163.27501264088883,-81.94279368826014,3,0.1111111111111111,0.36529860758334676,-inf
enhanced_ge_70,enhanced,70.0,,hold_20_greed_60,20,60.0,11,11,0,4,0.36363636363636365,-0.031500761769528644,-0.0595348837209303,-34.6508379464815,0.0,-34.6508379464815,3,0.0,0.408248290463863,-inf
enhanced_ge_70,enhanced,70.0,,hold_40_greed_off,40,,11,11,0,4,0.36363636363636365,-0.10091926422188738,-0.07518645434388227,-111.01119064407612,0.0,-111.01119064407612,3,0.0,0.408248290463863,-inf
enhanced_ge_70,enhanced,70.0,,hold_40_greed_80,40,80.0,11,11,0,4,0.36363636363636365,-0.10091926422188738,-0.07518645434388227,-111.01119064407612,0.0,-111.01119064407612,3,0.0,0.408248290463863,-inf
