qvix_weight,entry_threshold,max_hold,greed_threshold,signals,closed,open,wins,win_rate,avg_return,median_return,realized_pnl_per_100,unrealized_pnl_per_100,mark_to_market_pnl_per_100,covered_years,worst_year_win_rate,year_win_rate_std,meaningful_worst_year,selection_score
0.8,35,90,70.0,109,109,0,61,0.5596330275229358,0.01904326586791904,0.005859375,207.57159796031752,0.0,207.57159796031752,3,0.0,0.3356628725166094,0.5643564356435643,0.4150444324403202
0.8,35,60,70.0,109,109,0,61,0.5596330275229358,0.01904326586791904,0.005859375,207.57159796031752,0.0,207.57159796031752,3,0.0,0.3356628725166094,0.5643564356435643,0.4150444324403202
0.8,45,60,70.0,63,63,0,38,0.6031746031746031,0.0318771322473656,0.01565217391304352,200.8259331584033,0.0,200.8259331584033,3,0.0,0.4117723214569344,0.6140350877192983,0.41072006209048295
0.8,45,90,70.0,63,63,0,38,0.6031746031746031,0.0318771322473656,0.01565217391304352,200.8259331584033,0.0,200.8259331584033,3,0.0,0.4117723214569344,0.6140350877192983,0.41072006209048295
0.6,35,90,70.0,136,136,0,68,0.5,0.023269223758186314,-0.0005332250288229146,316.46144311133384,0.0,316.46144311133384,3,0.0,0.23862861986079953,0.5,0.40239368301734935
0.6,35,60,70.0,136,136,0,68,0.5,0.022405163732415228,-0.0005332250288229146,304.7102267608471,0.0,304.7102267608471,3,0.0,0.23862861986079953,0.5,0.40217766801090654
0.4,50,60,70.0,75,75,0,41,0.5466666666666666,0.05561907561908939,0.01807228915662651,417.1430671431704,0.0,417.1430671431704,3,0.0,0.27221951200608874,0.5774647887323944,0.4020802595874777
0.4,45,60,70.0,96,96,0,50,0.5208333333333334,0.04936500132620806,0.009736305631304454,473.9040127315974,0.0,473.9040127315974,3,0.0,0.22412763363566324,0.5444444444444444,0.40049437297403234
0.8,30,60,70.0,138,138,0,67,0.4855072463768116,0.008573797261942436,-0.0022602214366704287,118.3184022148056,0.0,118.3184022148056,3,0.0,0.26048843011201517,0.488,0.3892579980949302
0.8,30,90,70.0,138,138,0,67,0.4855072463768116,0.008573797261942436,-0.0022602214366704287,118.3184022148056,0.0,118.3184022148056,3,0.0,0.26048843011201517,0.488,0.3892579980949302
0.6,45,60,70.0,75,75,0,40,0.5333333333333333,0.039817582239017636,0.00439560439560438,298.63186679263225,0.0,298.63186679263225,3,0.0,0.40874788064523687,0.5428571428571428,0.3753498032033735
0.6,45,90,70.0,75,75,0,40,0.5333333333333333,0.039817582239017636,0.00439560439560438,298.63186679263225,0.0,298.63186679263225,3,0.0,0.40874788064523687,0.5428571428571428,0.3753498032033735
0.6,40,60,70.0,103,103,0,51,0.49514563106796117,0.027019108231713652,-0.002586206896551646,278.2968147866506,0.0,278.2968147866506,3,0.0,0.3419284855424233,0.48936170212765956,0.3690442357343307
0.6,40,90,70.0,103,103,0,51,0.49514563106796117,0.027019108231713652,-0.002586206896551646,278.2968147866506,0.0,278.2968147866506,3,0.0,0.3419284855424233,0.48936170212765956,0.3690442357343307
0.8,55,60,75.0,40,40,0,20,0.5,0.05002431111083009,-0.0008430304530823718,200.09724444332036,0.0,200.09724444332036,2,0.0,0.2702702702702703,0.5405405405405406,-inf
0.8,50,60,75.0,54,54,0,29,0.5370370370370371,0.05601864210765367,0.004229514189774797,302.50066738132983,0.0,302.50066738132983,3,0.0,0.4089561459915412,0.5510204081632653,-inf
0.8,65,90,75.0,20,20,0,8,0.4,0.026575096104087613,-0.033426477387071274,53.15019220817523,0.0,53.15019220817523,2,0.0,0.23529411764705882,0.47058823529411764,-inf
0.8,60,90,75.0,34,34,0,17,0.5,0.04726537790691288,-0.0008430304530823718,160.7022848835038,0.0,160.7022848835038,2,0.0,0.27419354838709675,0.5483870967741935,-inf
0.8,55,90,75.0,40,40,0,20,0.5,0.05002431111083009,-0.0008430304530823718,200.09724444332036,0.0,200.09724444332036,2,0.0,0.2702702702702703,0.5405405405405406,-inf
0.8,50,90,75.0,54,54,0,29,0.5370370370370371,0.05601864210765367,0.004229514189774797,302.50066738132983,0.0,302.50066738132983,3,0.0,0.4089561459915412,0.5510204081632653,-inf
0.8,45,90,75.0,63,63,0,36,0.5714285714285714,0.05490074351851997,0.006086956521739184,345.8746841666758,0.0,345.8746841666758,3,0.0,0.40994110335255873,0.5789473684210527,-inf
0.0,40,60,65.0,229,229,0,124,0.5414847161572053,0.02345521199194482,0.012810248198558583,537.1243546155364,0.0,537.1243546155364,3,0.5370370370370371,0.05988995202256047,0.5370370370370371,-inf
0.2,65,60,65.0,21,21,0,11,0.5238095238095238,0.06037183980904151,0.022241231822070162,126.78086359898717,0.0,126.78086359898717,1,0.5238095238095238,0.0,0.5238095238095238,-inf
0.2,60,60,65.0,36,36,0,18,0.5,0.0497058554463348,0.0035971049392482524,178.9410796068053,0.0,178.9410796068053,2,0.0,0.2727272727272727,0.5454545454545454,-inf
0.2,55,60,65.0,81,81,0,44,0.5432098765432098,0.04641212311021786,0.02839931153184172,375.93819719276473,0.0,375.93819719276473,3,0.0,0.4086766458693654,0.4603174603174603,-inf
0.2,50,60,65.0,134,134,0,85,0.6343283582089553,0.04647779886908007,0.02907827753569381,622.802504845673,0.0,622.802504845673,3,0.0,0.3916593450297951,0.4634146341463415,-inf
0.2,70,90,65.0,5,5,0,3,0.6,0.004787505818209215,0.022241231822070162,2.3937529091046073,0.0,2.3937529091046073,1,0.6,0.0,,-inf
0.2,65,90,65.0,21,21,0,11,0.5238095238095238,0.04630150609650559,0.022241231822070162,97.23316280266174,0.0,97.23316280266174,1,0.5238095238095238,0.0,0.5238095238095238,-inf
0.2,60,90,65.0,36,36,0,18,0.5,0.0361592119062546,0.010768998470810087,130.17316286251656,0.0,130.17316286251656,2,0.0,0.2727272727272727,0.5454545454545454,-inf
0.2,55,90,65.0,81,81,0,44,0.5432098765432098,0.038171353743266724,0.02839931153184172,309.1879653204605,0.0,309.1879653204605,3,0.0,0.4086766458693654,0.4603174603174603,-inf
0.2,50,90,65.0,134,134,0,85,0.6343283582089553,0.041009581115136494,0.02907827753569381,549.528386942829,0.0,549.528386942829,3,0.0,0.3916593450297951,0.4634146341463415,-inf
0.2,45,90,65.0,175,175,0,119,0.68,0.04716006797892383,0.03270348837209314,825.3011896311671,0.0,825.3011896311671,3,0.0,0.38010886936268967,0.5339805825242718,-inf
