period,qvix_weight,entry_threshold,max_hold,greed_threshold,max_positions,ranking,initial_capital,final_value,net_profit,total_return,cagr,accepted_trades,closed_trades,win_rate,avg_net_return,open_positions,cash,open_mark_value,as_of,fee_rule
validation_plus_shadow,0.3,50,60,70.0,1,fear,10000.0,10237.6,237.60000000000036,0.023760000000000003,0.015187721602968773,4,3,1.0,0.05225605505289841,1,85.79999999999927,10151.800000000001,2026-07-31,万三，单边最低5元；100股整数手
all,0.3,50,60,75.0,1,fear,10000.0,12100.1,2100.1000000000004,0.21001000000000003,0.03494659852996773,9,8,0.5,0.04686023673299476,1,71.5,12028.6,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.3,50,60,75.0,1,fear,10000.0,10706.2,706.2000000000007,0.07062000000000013,0.04477650124524413,4,3,0.6666666666666666,0.06943163840286383,1,2.399999999999636,10703.800000000001,2026-07-31,万三，单边最低5元；100股整数手
all,0.3,50,90,65.0,1,fear,10000.0,11225.200000000003,1225.2000000000025,0.12252000000000018,0.021044318875102608,10,9,0.6666666666666666,0.03314412350607048,1,79.80000000000109,11145.400000000001,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.3,50,90,65.0,1,fear,10000.0,10048.600000000002,48.60000000000218,0.0048600000000003085,0.0031170013728558654,4,3,1.0,0.04571090078618523,1,7.200000000000728,10041.400000000001,2026-07-31,万三，单边最低5元；100股整数手
all,0.3,50,90,70.0,1,fear,10000.0,14977.4,4977.4,0.49774000000000007,0.07550469741375943,8,8,0.625,0.05909047811386117,0,14977.4,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.3,50,90,70.0,1,fear,10000.0,12855.999999999996,2855.9999999999964,0.28559999999999963,0.1749970074454421,3,3,1.0,0.09074941451294627,0,12855.999999999996,0.0,2026-07-31,万三，单边最低5元；100股整数手
all,0.3,50,90,75.0,1,fear,10000.0,14884.0,4884.0,0.48839999999999995,0.07429306142874581,8,8,0.5,0.05842387687434807,0,14884.0,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.3,50,90,75.0,1,fear,10000.0,13219.8,3219.7999999999993,0.32197999999999993,0.19623402124051692,3,3,0.6666666666666666,0.10207436499452578,0,13219.8,0.0,2026-07-31,万三，单边最低5元；100股整数手
all,0.4,40,60,65.0,1,fear,10000.0,8564.499999999998,-1435.5000000000018,-0.14355000000000018,-0.027482786292013173,13,13,0.6153846153846154,-0.005271876238110781,0,8564.499999999998,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.4,40,60,65.0,1,fear,10000.0,8075.399999999998,-1924.6000000000022,-0.1924600000000002,-0.12821950611643707,4,4,0.5,-0.04318711613236656,0,8075.399999999998,0.0,2026-07-31,万三，单边最低5元；100股整数手
