period,qvix_weight,entry_threshold,max_hold,greed_threshold,max_positions,ranking,initial_capital,final_value,net_profit,total_return,cagr,accepted_trades,closed_trades,win_rate,avg_net_return,open_positions,cash,open_mark_value,as_of,fee_rule
validation_plus_shadow,0.2,45,90,75.0,1,fear,10000.0,13194.899999999998,3194.899999999998,0.31948999999999983,0.19478719915753384,3,3,0.6666666666666666,0.10134369259985702,0,13194.899999999998,0.0,2026-07-31,万三，单边最低5元；100股整数手
all,0.2,50,60,65.0,1,fear,10000.0,9772.000000000004,-227.99999999999636,-0.0227999999999996,-0.004165780597667035,10,9,0.5555555555555556,0.01778706259940917,1,61.80000000000291,9710.2,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.2,50,60,65.0,1,fear,10000.0,9507.7,-492.2999999999993,-0.049229999999999885,-0.03188644450546685,4,3,0.6666666666666666,0.029507472217683073,1,18.299999999999272,9489.400000000001,2026-07-31,万三，单边最低5元；100股整数手
all,0.2,50,60,70.0,1,fear,10000.0,11151.500000000002,1151.5000000000018,0.11515000000000009,0.01992241773578618,9,8,0.625,0.035533948457732,1,116.5,11035.000000000002,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.2,50,60,70.0,1,fear,10000.0,10041.8,41.79999999999927,0.0041799999999998505,0.002681203069392568,4,3,1.0,0.04819205581115335,1,0.3999999999978172,10041.400000000001,2026-07-31,万三，单边最低5元；100股整数手
all,0.2,50,60,75.0,1,fear,10000.0,10125.200000000003,125.20000000000255,0.012520000000000309,0.0022545397291433567,9,8,0.375,0.023736529391115417,1,83.80000000000109,10041.400000000001,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.2,50,60,75.0,1,fear,10000.0,10594.4,594.3999999999996,0.05943999999999994,0.03775996320449537,4,3,0.6666666666666666,0.06813283358256783,1,0.999999999998181,10593.400000000001,2026-07-31,万三，单边最低5元；100股整数手
all,0.2,50,90,65.0,1,fear,10000.0,9663.400000000001,-336.59999999999854,-0.0336599999999998,-0.006178057803881032,10,9,0.5555555555555556,0.01605705825858947,1,63.600000000000364,9599.800000000001,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.2,50,90,65.0,1,fear,10000.0,9507.7,-492.2999999999993,-0.049229999999999885,-0.03188644450546685,4,3,0.6666666666666666,0.029507472217683073,1,18.299999999999272,9489.400000000001,2026-07-31,万三，单边最低5元；100股整数手
all,0.2,50,90,70.0,1,fear,10000.0,12716.900000000001,2716.9000000000015,0.2716900000000002,0.0444618788613238,8,8,0.625,0.03473013393333971,0,12716.900000000001,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.2,50,90,70.0,1,fear,10000.0,11744.599999999997,1744.5999999999967,0.17445999999999962,0.10874136943805923,3,3,1.0,0.05617042972468649,0,11744.599999999997,0.0,2026-07-31,万三，单边最低5元；100股整数手
all,0.2,50,90,75.0,1,fear,10000.0,11274.900000000001,1274.9000000000015,0.1274900000000001,0.021955986084261525,8,8,0.375,0.019984707583695884,0,11274.900000000001,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.2,50,90,75.0,1,fear,10000.0,12146.899999999998,2146.899999999998,0.21468999999999983,0.13297335791921583,3,3,0.6666666666666666,0.06952952138389197,0,12146.899999999998,0.0,2026-07-31,万三，单边最低5元；100股整数手
all,0.3,40,60,65.0,1,fear,10000.0,11017.400000000003,1017.4000000000033,0.10174000000000039,0.017577285508404872,15,15,0.5333333333333333,0.013676910378539346,0,11017.400000000003,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.3,40,60,65.0,1,fear,10000.0,8335.3,-1664.7000000000007,-0.16647000000000012,-0.11031123962903144,4,4,0.5,-0.0347711619230521,0,8335.3,0.0,2026-07-31,万三，单边最低5元；100股整数手
