source,category,symbol,display_name,entry_date,exit_date,ret,cash_before,cash_after,param_id,entry_year,source_type,win,ret_pct,holding_calendar_days,caliber,buy_low,sell_high,strategy_id,signal_date,entry_close,exit_close,return,hold_days,buy_target,buy_frequency,buy_combo,buy_threshold,sell_frequency,sell_combo,sell_threshold,max_hold,exit_rule,train_score,selected_for_year,selector_score_func,entry_dt,exit_dt,portfolio_weight,applied_return,equity,priority,decision_date,mom20,mom60,mom120,vol20,amount20,history,dist,score,ret_raw
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2017-03-23,2017-04-10,0.026867868973132092,2746.841725514067,2820.643509085111,red_ma_idle20_hold10_ma60_mom20,2017.0,空仓补偿,True,2.6868,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026867868973132
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2017-04-12,2017-04-26,-0.015827338129496216,2820.643509085111,2776.0002305240523,red_ma_idle20_hold10_ma60_mom20,2017.0,空仓补偿,False,-1.5827,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0158273381294962
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2017-04-28,2017-05-15,0.0003676470588234171,2776.0002305240523,2777.0208188440974,red_ma_idle20_hold10_ma60_mom20,2017.0,空仓补偿,True,0.0368,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003676470588234
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2017-05-17,2017-06-02,0.031215571061329328,2777.0208188440974,2863.707109553516,red_ma_idle20_hold10_ma60_mom20,2017.0,空仓补偿,True,3.1216,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0312155710613293
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2017-06-06,2017-06-20,0.006446991404011504,2863.707109553516,2882.169404672414,red_ma_idle20_hold10_ma60_mom20,2017.0,空仓补偿,True,0.6447,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0064469914040115
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2017-06-22,2017-07-06,0.02700806734479122,2882.169404672414,2960.0112300529036,red_ma_idle20_hold10_ma60_mom20,2017.0,空仓补偿,True,2.7008,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0270080673447912
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2017-07-10,2017-07-24,0.032675289312457334,2960.0112300529036,3056.730453363005,red_ma_idle20_hold10_ma60_mom20,2017.0,空仓补偿,True,3.2675,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0326752893124573
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2017-07-26,2017-08-09,-0.009983361064891727,3056.730453363005,3026.214009569032,red_ma_idle20_hold10_ma60_mom20,2017.0,空仓补偿,False,-0.9983,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0099833610648917
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2017-08-11,2017-08-25,0.03698630136986303,3026.214009569032,3138.1424729366536,red_ma_idle20_hold10_ma60_mom20,2017.0,空仓补偿,True,3.6986,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036986301369863
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2017-08-29,2017-09-12,-0.0046067785455742305,3138.1424729366536,3123.6857455193735,red_ma_idle20_hold10_ma60_mom20,2017.0,空仓补偿,False,-0.4607,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0046067785455742
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2017-09-14,2017-09-28,0.006653359946773074,3123.6857455193735,3144.4687511449183,red_ma_idle20_hold10_ma60_mom20,2017.0,空仓补偿,True,0.6653,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006653359946773
空仓补偿_red_ma,宽基/风格指数,510880,红利ETF,2017-10-09,2017-10-18,0.005886200130804431,3144.4687511449183,3162.9777235192178,red_ma_idle20_hold10_ma60_mom20,2017.0,空仓补偿,True,0.5886,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0058862001308044
主策略,周期资源/公用事业,159930,能源ETF,2017-10-19,2017-12-14,0.002002964791657069,3162.9777235192178,3169.3130565362226,,2017.0,主策略,True,0.2003,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002002964791657
主策略,宽基/风格指数,159902,中小板ETF,2018-02-02,2018-04-10,0.007006635150599072,3169.3130565362226,3191.5192768014017,,2018.0,主策略,True,0.7007,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007006635150599
主策略,军工/基建/交通/央企,512660,军工ETF,2018-06-15,2018-08-13,0.002484928699685751,3191.5192768014017,3199.449974647926,,2018.0,主策略,True,0.2485,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024849286996857
主策略,周期资源/公用事业,159930,能源ETF,2018-12-25,2019-02-28,0.1531531043188954,3199.449974647926,3689.455670378267,,2018.0,主策略,True,15.3153,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1531531043188954
空仓补偿_rotate_mom,宽基/风格指数,159902,中小板ETF,2019-03-04,2019-03-18,0.04866508955728288,3689.455670378267,3869.0033609948505,rotate_mom_idle20_hold10_ma0_mom40,2019.0,空仓补偿,True,4.8665,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0486650895572828
空仓补偿_rotate_mom,宽基/风格指数,159902,中小板ETF,2019-03-20,2019-04-03,0.051673708157296216,3869.0033609948505,4068.9291115304964,rotate_mom_idle20_hold10_ma0_mom40,2019.0,空仓补偿,True,5.1674,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0516737081572962
空仓补偿_rotate_mom,宽基/风格指数,159902,中小板ETF,2019-04-08,2019-04-22,-0.025872817955112315,4068.9291115304964,3963.6544493556107,rotate_mom_idle20_hold10_ma0_mom40,2019.0,空仓补偿,False,-2.5873,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0258728179551123
空仓补偿_rotate_mom,宽基/风格指数,159902,中小板ETF,2019-04-24,2019-04-29,-0.06147934678194045,3963.6544493556107,3719.971562939896,rotate_mom_idle20_hold10_ma0_mom40,2019.0,空仓补偿,False,-6.1479,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0614793467819404
主策略,宽基/风格指数,510880,红利ETF,2019-04-30,2019-07-01,-0.017094702145165952,3719.971562939896,3656.379757082951,,2019.0,主策略,False,-1.7095,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0170947021451659
空仓补偿_rotate_mom,宽基/风格指数,159902,中小板ETF,2019-07-03,2019-07-17,-0.021284019539427712,3656.379757082951,3578.5572988896297,rotate_mom_idle20_hold10_ma0_mom40,2019.0,空仓补偿,False,-2.1284,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0212840195394277
主策略,周期资源/公用事业,159930,能源ETF,2019-08-07,2019-09-17,0.09705001392631374,3578.5572988896297,3925.85633458298,,2019.0,主策略,True,9.705,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0970500139263137
