variant,window,combo,trades,final,total_ret,ann,win,avg_trade,max_drawdown_trade_curve
rolling_gate,2019_2026,C,28,9371.610421349369,-0.0628389578650631,-0.01177072437458071,0.39285714285714285,0.001426718785715279,-0.45176473027968134
rolling_gate,2019_2026,S,51,10265.064489556356,0.026506448955635697,0.01030530511939065,0.45098039215686275,0.004396593689817825,-0.42882335486697387
rolling_gate,2019_2026,D,15,25077.998713247973,1.507799871324797,0.1846310440190524,0.8666666666666667,0.06656178215700097,-0.1147672552166934
rolling_gate,2019_2026,C+S,55,11645.104903604988,0.1645104903604988,0.0281757864194061,0.4,0.007097965435066537,-0.6095754645950322
rolling_gate,2019_2026,C+D,22,7978.0615738674705,-0.2021938426132529,-0.04077320585965949,0.36363636363636365,-0.0039049491292795914,-0.5406635696495329
rolling_gate,2019_2026,S+D,44,20206.80798738494,1.020680798738494,0.13471266633921508,0.5454545454545454,0.02337350178546128,-0.44359498092493055
rolling_gate,2019_2026,C+S+D,46,5983.645444022331,-0.4016354555977669,-0.08813709010248094,0.3695652173913043,-0.006670494302239428,-0.562767072868918
rolling_gate,2021_2026,C,28,9371.610421349369,-0.0628389578650631,-0.01177072437458071,0.39285714285714285,0.001426718785715279,-0.45176473027968134
rolling_gate,2021_2026,S,51,10265.064489556356,0.026506448955635697,0.01030530511939065,0.45098039215686275,0.004396593689817825,-0.42882335486697387
rolling_gate,2021_2026,D,15,25077.998713247973,1.507799871324797,0.1846310440190524,0.8666666666666667,0.06656178215700097,-0.1147672552166934
rolling_gate,2021_2026,C+S,55,11645.104903604988,0.1645104903604988,0.0281757864194061,0.4,0.007097965435066537,-0.6095754645950322
rolling_gate,2021_2026,C+D,22,7978.0615738674705,-0.2021938426132529,-0.04077320585965949,0.36363636363636365,-0.0039049491292795914,-0.5406635696495329
rolling_gate,2021_2026,S+D,44,20206.80798738494,1.020680798738494,0.13471266633921508,0.5454545454545454,0.02337350178546128,-0.44359498092493055
rolling_gate,2021_2026,C+S+D,46,5983.645444022331,-0.4016354555977669,-0.08813709010248094,0.3695652173913043,-0.006670494302239428,-0.562767072868918
rolling_gate,past_2y,C,8,10624.83583973044,0.06248358397304399,0.03167075181550061,0.5,0.010235601277160875,-0.12525223407321995
rolling_gate,past_2y,S,38,9861.053509431089,-0.013894649056891084,-0.007172196185357027,0.42105263157894735,0.0043229395990490435,-0.41786643728009243
rolling_gate,past_2y,D,6,17094.676567008024,0.7094676567008025,0.3389203836611365,1.0,0.0952407340777726,0.0
rolling_gate,past_2y,C+S,26,9038.754473926978,-0.09612455260730224,-0.050662467710458015,0.5,-0.0021384263279253077,-0.2207586442400894
rolling_gate,past_2y,C+D,6,11091.652297348699,0.10916522973486997,0.057840829845951625,0.6666666666666666,0.018237436891782734,-0.061344093615993134
rolling_gate,past_2y,S+D,26,11492.487692780234,0.14924876927802333,0.07269984859503187,0.5384615384615384,0.01376616961381047,-0.44359498092493055
rolling_gate,past_2y,C+S+D,22,7353.074325052365,-0.26469256749476355,-0.14368201849096074,0.45454545454545453,-0.009211912940999555,-0.4733839003352416
rolling_gate,past_1y,C,4,10684.021078384427,0.0684021078384427,0.09255812443038058,0.5,0.019605820937140424,-0.09401860931443862
rolling_gate,past_1y,S,16,11577.153976641848,0.15771539766418474,0.1671867518150454,0.4375,0.016490747501295363,-0.2955999191809108
rolling_gate,past_1y,D,3,12629.341354251943,0.2629341354251944,0.36974425732229754,1.0,0.08317334535079503,0.0
rolling_gate,past_1y,C+S,13,12938.119741187316,0.2938119741187317,0.3124876098725191,0.46153846153846156,0.026897204849727012,-0.21644362499703873
rolling_gate,past_1y,C+D,3,11063.614982411398,0.10636149824113983,0.14594515702399624,1.0,0.0345010824608235,0.0
rolling_gate,past_1y,S+D,13,9109.27026234381,-0.08907297376561896,-0.09031146137492951,0.38461538461538464,0.002103681184755593,-0.4457557771155133
rolling_gate,past_1y,C+S+D,13,9109.27026234381,-0.08907297376561896,-0.09031146137492951,0.38461538461538464,0.002103681184755593,-0.4457557771155133
